experiment_id,session,strategy,model_version,far,frr,eer,accuracy,precision,recall,f1,n_legitimate,n_impostor,adaptation_event
exp_1_gradual_20260901_165858,0,static,21,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_165858,1,static,21,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_165858,2,static,21,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_165858,3,static,21,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_165858,4,static,21,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_165858,5,static,21,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_165858,6,static,21,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_165858,7,static,21,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_165858,8,static,21,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_165858,9,static,21,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_165858,0,adaptive,21,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_165858,1,adaptive,21,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_165858,2,adaptive,22,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,Model adapted at session 2
exp_1_gradual_20260901_165858,3,adaptive,22,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_165858,4,adaptive,22,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_165858,5,adaptive,23,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,Model adapted at session 5
exp_1_gradual_20260901_165858,6,adaptive,23,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_165858,7,adaptive,23,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_165858,8,adaptive,24,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,Model adapted at session 8
exp_1_gradual_20260901_165858,9,adaptive,24,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
