experiment_id,session,strategy,model_version,far,frr,eer,accuracy,precision,recall,f1,n_legitimate,n_impostor,adaptation_event
exp_15_gradual_20260830_212615,0,static,15,1.0,0.0,0.5,0.5,0.5,1.0,0.6666666666666666,2,2,
exp_15_gradual_20260830_212615,1,static,15,1.0,0.0,0.5,0.5,0.5,1.0,0.6666666666666666,2,2,
exp_15_gradual_20260830_212615,2,static,15,1.0,0.0,0.5,0.5,0.5,1.0,0.6666666666666666,2,2,
exp_15_gradual_20260830_212615,3,static,15,1.0,0.0,0.5,0.5,0.5,1.0,0.6666666666666666,2,2,
exp_15_gradual_20260830_212615,4,static,15,1.0,0.0,0.5,0.5,0.5,1.0,0.6666666666666666,2,2,
exp_15_gradual_20260830_212615,0,adaptive,15,1.0,0.0,0.5,0.5,0.5,1.0,0.6666666666666666,2,2,
exp_15_gradual_20260830_212615,1,adaptive,15,1.0,0.0,0.5,0.5,0.5,1.0,0.6666666666666666,2,2,
exp_15_gradual_20260830_212615,2,adaptive,15,1.0,0.0,0.5,0.5,0.5,1.0,0.6666666666666666,2,2,
exp_15_gradual_20260830_212615,3,adaptive,15,1.0,0.0,0.5,0.5,0.5,1.0,0.6666666666666666,2,2,
exp_15_gradual_20260830_212615,4,adaptive,15,1.0,0.0,0.5,0.5,0.5,1.0,0.6666666666666666,2,2,Model adapted at session 4
