experiment_id,session,strategy,model_version,far,frr,eer,accuracy,precision,recall,f1,n_legitimate,n_impostor,adaptation_event
exp_15_gradual_20260829_233337,0,static,8,1.0,0.0,0.5,0.5,0.5,1.0,0.6666666666666666,2,2,
exp_15_gradual_20260829_233337,1,static,8,1.0,0.0,0.5,0.5,0.5,1.0,0.6666666666666666,2,2,
exp_15_gradual_20260829_233337,2,static,8,1.0,0.0,0.5,0.5,0.5,1.0,0.6666666666666666,2,2,
exp_15_gradual_20260829_233337,3,static,8,1.0,0.0,0.5,0.5,0.5,1.0,0.6666666666666666,2,2,
exp_15_gradual_20260829_233337,4,static,8,1.0,0.0,0.5,0.5,0.5,1.0,0.6666666666666666,2,2,
exp_15_gradual_20260829_233337,0,adaptive,8,1.0,0.0,0.5,0.5,0.5,1.0,0.6666666666666666,2,2,
exp_15_gradual_20260829_233337,1,adaptive,8,1.0,0.0,0.5,0.5,0.5,1.0,0.6666666666666666,2,2,
exp_15_gradual_20260829_233337,2,adaptive,8,1.0,0.0,0.5,0.5,0.5,1.0,0.6666666666666666,2,2,
exp_15_gradual_20260829_233337,3,adaptive,8,1.0,0.0,0.5,0.5,0.5,1.0,0.6666666666666666,2,2,Model adapted at session 3
exp_15_gradual_20260829_233337,4,adaptive,8,1.0,0.0,0.5,0.5,0.5,1.0,0.6666666666666666,2,2,
